forcing,member,scenario,variable,dataset_id,dataset_name,version,size_bytes,file_count,first_year,last_year,rights,public,restricted,resource_doi
ipsl-cm6a-lr,r1i1p1f1,ssp126,pr,a4fa787d-6bf4-4311-b9a9-00ee50263b00,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp126_pr_global_daily,20210512,18284166943,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp126,tas,70c21728-d3af-4720-81db-3c2da1a08f68,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,17743991138,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp126,tasmax,22791b2f-5d4a-405d-8be9-d33f7782c083,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp126_tasmax_global_daily,20210512,17854105605,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp126,tasmin,b9c6fce6-c0af-4ccc-bdaf-f2e358df7fda,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp126_tasmin_global_daily,20210512,17936767598,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp370,pr,f67e2800-c9ca-489d-af67-f5fefe0c0491,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_global_daily,20210512,18246642122,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp370,tas,c0112ac8-0b8d-4082-b21b-0c48c2b2c1d5,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_tas_global_daily,20210512,17740827273,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp370,tasmax,db8bbe43-4766-4b9a-ab6e-5bc1f155c5be,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_tasmax_global_daily,20210512,17847584681,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp370,tasmin,7765afab-a511-4f90-aa13-104e5dab6f54,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_tasmin_global_daily,20210512,17920076473,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp585,pr,b10993d6-9f54-4705-830d-d624fe66051a,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_pr_global_daily,20210512,18236425373,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp585,tas,1743fd86-2323-4d17-a718-21290e0f7fef,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_tas_global_daily,20210512,17738608713,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp585,tasmax,1dc615ca-83b8-4d8b-9f5b-25752056eca5,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_tasmax_global_daily,20210512,17847636103,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ipsl-cm6a-lr,r1i1p1f1,ssp585,tasmin,69e7fa19-6120-4eee-84d7-519ff4712b99,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_tasmin_global_daily,20210512,17916179333,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,historical,pr,e01e9e1c-6ef6-49a8-99b5-72f7e289ed70,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily,20210512,34617558215,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,historical,tas,e5a636d1-43f5-4f46-83ad-e76ab31f0528,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_tas_global_daily,20210512,34004726163,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,historical,tasmax,e7137900-9e0b-4f64-90f4-e11630bd50d5,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_tasmax_global_daily,20210512,34197776635,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
