country_id,country_name,give_region_id,mapping_version
NLD,Netherlands,WEU,give_rennert_2022_v1
NOR,Norway,WEU,give_rennert_2022_v1
NPL,Nepal,SAS,give_rennert_2022_v1
NZL,New Zealand,ANZ,give_rennert_2022_v1
OMN,Oman,MDE,give_rennert_2022_v1
PAK,Pakistan,SAS,give_rennert_2022_v1
PAN,Panama,CAM,give_rennert_2022_v1
PER,Peru,LAM,give_rennert_2022_v1
PHL,Philippines,SEA,give_rennert_2022_v1
PNG,Papua New Guinea,SEA,give_rennert_2022_v1
POL,Poland,EEU,give_rennert_2022_v1
PRI,Puerto Rico,CAM,give_rennert_2022_v1
PRT,Portugal,WEU,give_rennert_2022_v1
PRY,Paraguay,LAM,give_rennert_2022_v1
PSE,"Palestinian Territory, Occupied",MDE,give_rennert_2022_v1
PYF,French Polynesia,SIS,give_rennert_2022_v1
QAT,Qatar,MDE,give_rennert_2022_v1
ROU,Romania,EEU,give_rennert_2022_v1
RUS,Russia,FSU,give_rennert_2022_v1
RWA,Rwanda,SSA,give_rennert_2022_v1
SAU,Saudi Arabia,MDE,give_rennert_2022_v1
SDN,Sudan,SSA,give_rennert_2022_v1
SEN,Senegal,SSA,give_rennert_2022_v1
SGP,Singapore,SEA,give_rennert_2022_v1
SLB,Solomon Islands,SIS,give_rennert_2022_v1
SLE,Sierra Leone,SSA,give_rennert_2022_v1
SLV,El Salvador,CAM,give_rennert_2022_v1
SOM,Somalia,SSA,give_rennert_2022_v1
SRB,Serbia,EEU,give_rennert_2022_v1
STP,Sao Tome and Principe,SIS,give_rennert_2022_v1
SUR,Suriname,LAM,give_rennert_2022_v1
SVK,Slovakia,EEU,give_rennert_2022_v1
SVN,Slovenia,EEU,give_rennert_2022_v1
SWE,Sweden,WEU,give_rennert_2022_v1
SWZ,Swaziland,SSA,give_rennert_2022_v1
SYR,Syrian Arab Republic,MDE,give_rennert_2022_v1
TCD,Chad,SSA,give_rennert_2022_v1
TGO,Togo,SSA,give_rennert_2022_v1
THA,Thailand,SEA,give_rennert_2022_v1
TJK,Tajikistan,FSU,give_rennert_2022_v1
TKM,Turkmenistan,FSU,give_rennert_2022_v1
TLS,Timor-Leste,SEA,give_rennert_2022_v1
TON,Tonga,SIS,give_rennert_2022_v1
TTO,Trinidad and Tobago,SIS,give_rennert_2022_v1
TUN,Tunisia,MAF,give_rennert_2022_v1
TUR,Turkey,MDE,give_rennert_2022_v1
TWN,Taiwan,SEA,give_rennert_2022_v1
TZA,"Tanzania, United Republic of",SSA,give_rennert_2022_v1
UGA,Uganda,SSA,give_rennert_2022_v1
UKR,Ukraine,FSU,give_rennert_2022_v1
URY,Uruguay,LAM,give_rennert_2022_v1
USA,United States,USA,give_rennert_2022_v1
UZB,Uzbekistan,FSU,give_rennert_2022_v1
VCT,Saint Vincent & the Grenadines,SIS,give_rennert_2022_v1
VEN,Venezuela,LAM,give_rennert_2022_v1
VNM,Viet Nam,SEA,give_rennert_2022_v1
VUT,Vanuatu,SIS,give_rennert_2022_v1
WSM,Samoa,SIS,give_rennert_2022_v1
YEM,Yemen,MDE,give_rennert_2022_v1
ZAF,South Africa,SSA,give_rennert_2022_v1
ZMB,Zambia,SSA,give_rennert_2022_v1
ZWE,Zimbabwe,SSA,give_rennert_2022_v1
