holdout_type,holdout_id,feature_family,selected_lambda,n_test_values,rmse,benchmark_rmse,rmse_ratio_to_cell_mean,negative_prediction_count,above_one_prediction_count
whole_esm,GFDL-ESM4,tmean_c,1.0,36358,0.8856192025133215,1.9205010898113293,0.4611396511107031,0,0
whole_esm,GFDL-ESM4,precip_mm,100.0,36358,86.45013343503432,87.51012327608359,0.9878872317696875,0,0
whole_esm,GFDL-ESM4,wet_days_n,10.0,36358,7.293484447486394,7.478144261797169,0.9753067328141651,0,0
whole_esm,GFDL-ESM4,cdd_max_days,100.0,36358,16.057418947424242,16.2533117316945,0.9879475157122435,0,0
whole_esm,GFDL-ESM4,rx1day_mm,100.0,36358,16.13573073926749,16.120233181935063,1.0009613730246654,0,0
whole_esm,GFDL-ESM4,rx5day_mm,100.0,36358,26.549562061224243,26.7290863690619,0.9932835598883226,0,0
whole_esm,GFDL-ESM4,stage1_precip_share,100.0,36358,0.1926467041700668,0.19317218129570363,0.9972797474143937,0,0
whole_esm,GFDL-ESM4,stage2_precip_share,100.0,36358,0.18445309113014494,0.18448802494318656,0.9998106445496808,0,0
whole_esm,GFDL-ESM4,stage3_precip_share,100.0,36358,0.16137633764025458,0.16152811453594537,0.9990603685548685,0,0
whole_esm,GFDL-ESM4,precipitation_timing_centroid,100.0,36358,0.10136654889863451,0.10156533190201367,0.9980428065398247,0,0
whole_esm,GFDL-ESM4,precipitation_concentration_hhi,100.0,36358,0.12193688044150974,0.1222165974076774,0.9977113013117637,0,0
whole_esm,IPSL-CM6A-LR,tmean_c,1.0,36358,0.9786797984607504,2.6918608329762486,0.36356998343732194,0,0
whole_esm,IPSL-CM6A-LR,precip_mm,100.0,36358,85.68090403391658,87.56961736970746,0.9784318649261995,0,0
whole_esm,IPSL-CM6A-LR,wet_days_n,100.0,36358,8.808747283132856,9.114642040691262,0.9664391913371064,0,0
whole_esm,IPSL-CM6A-LR,cdd_max_days,100.0,36358,15.093690375830988,15.193276536288058,0.9934453795914782,0,0
whole_esm,IPSL-CM6A-LR,rx1day_mm,100.0,36358,18.706475775360907,18.65034159571204,1.003009820456145,0,0
whole_esm,IPSL-CM6A-LR,rx5day_mm,100.0,36358,33.278940302380676,33.18779495999791,1.0027463512563166,0,0
whole_esm,IPSL-CM6A-LR,stage1_precip_share,100.0,36358,0.18085688103464084,0.18185688034922234,0.9945011741504572,0,0
whole_esm,IPSL-CM6A-LR,stage2_precip_share,100.0,36358,0.17364853834514746,0.17364833774313473,1.0000011552198849,0,0
whole_esm,IPSL-CM6A-LR,stage3_precip_share,100.0,36358,0.1557190197723377,0.1547874349198081,1.0060184785219308,11,0
whole_esm,IPSL-CM6A-LR,precipitation_timing_centroid,100.0,36358,0.09654384697809852,0.09661873951285124,0.9992248653301593,0,0
whole_esm,IPSL-CM6A-LR,precipitation_concentration_hhi,100.0,36358,0.1167689235467281,0.11662442077833655,1.0012390438248453,0,0
whole_esm,MPI-ESM1-2-HR,tmean_c,1.0,36358,1.0393912021621814,2.111055333164327,0.49235620963293525,0,0
whole_esm,MPI-ESM1-2-HR,precip_mm,100.0,36358,90.58537666970848,91.40211974911634,0.9910642873310851,0,0
whole_esm,MPI-ESM1-2-HR,wet_days_n,10.0,36358,8.07608534991265,8.219134449918522,0.982595600439741,0,0
whole_esm,MPI-ESM1-2-HR,cdd_max_days,100.0,36358,17.10605408907754,17.169982589665047,0.996276728863663,0,0
whole_esm,MPI-ESM1-2-HR,rx1day_mm,100.0,36358,13.851495156936986,13.95933969185393,0.9922743813606113,0,0
