esm_id,member_id,scenario,variable,start_year,end_year,dataset_id,file_id,file_name,version,size_bytes,sha512,file_url,rights,public,restricted
gfdl-esm4,r1i1p1f1,ssp126,pr,2041,2050,24cb1007-3c96-4b59-a0dc-42d94a8cff8c,1c590e23-31e7-4475-bde9-8eca462c4b3b,gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_global_daily_2041_2050.nc,20210512,2076388276,678cebcb61930c5d4aa17ab7e8ab2cb5b4c5c1d89c8467d23c2bdc67df09214124ab1720e5742eaef513493afb7084fd0afc97a24b6b2773657b0c579f361f61,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_global_daily_2041_2050.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,pr,2091,2100,24cb1007-3c96-4b59-a0dc-42d94a8cff8c,e78d23ef-47b8-4deb-b46e-d56e9863d31e,gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_global_daily_2091_2100.nc,20210512,2077308090,29cd92d35e82d5da21773ce32fff8c61bdc8e1e34121001843e73aaf610c4a77d51098ba5119e9e8826f534ce89dace5bda355ffa0b5ebca510482ffae8d1ffc,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_global_daily_2091_2100.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,tas,2041,2050,f741da2d-9d21-4c86-be9b-484396303e33,827f5957-05a5-4205-8bcb-a593a2c323b5,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2041_2050.nc,20210512,2052378930,3f6caf0e1f7bdee50ab7d89e7c033739e94da3aa1cc9082643d8a380f9dd915b073fb478344e53e338cb7d3738a94e0de698fade39b003e516e0fb1f1090e090,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2041_2050.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,tas,2091,2100,f741da2d-9d21-4c86-be9b-484396303e33,145820f3-eaf1-4279-a8e2-2ccbe3938fe3,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2091_2100.nc,20210512,2052768795,8fb466dabda38408f79a913678477cb51a3de2d812a7f6a6e6221325551638d88489002185381d1c75843ed4d6ef3f8e2b67e6f39361b8e2474379a7761aeefa,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2091_2100.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp370,pr,2041,2050,5fe132b1-6f3e-4a9d-a613-ac3752109e03,c954e0ed-64d9-434e-9629-b1503854848d,gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily_2041_2050.nc,20210512,2069328622,ed616c7c7d903c33cadf2a3e1580e084375723816d3538a03ad8a52df232e3630281a45b88dd2a4455c97bb780c1048245344000f9524a00e8f04d926b9610fb,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily_2041_2050.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp370,pr,2091,2100,5fe132b1-6f3e-4a9d-a613-ac3752109e03,a9aa0828-9a8f-43f7-b12e-2e07bc8ccbfa,gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily_2091_2100.nc,20210512,2085164598,ab5ed0004de4b1ea4d6da1ed16f1800eedac2f1c2c8ffcc5f5bb68c084a51740fb4a579ec9c2a9d15f16231c3e6ae03d5a1297c3b0493a714174ab2bdb7059ff,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily_2091_2100.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp370,tas,2041,2050,5614ea49-3a01-4fad-85d2-baea38727038,5dbd2a99-b684-4b00-a7b0-6b236e883ce9,gfdl-esm4_r1i1p1f1_w5e5_ssp370_tas_global_daily_2041_2050.nc,20210512,2052839269,a87b7b93d1753b6e013e42a0d89937e5fe83580c1b016cac034055f474850f352a41a8913a3a07c891cc843ebed559d5b06cd00383bfb591a7df80f182320006,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp370_tas_global_daily_2041_2050.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp370,tas,2091,2100,5614ea49-3a01-4fad-85d2-baea38727038,a619efe3-c72a-4cf1-87aa-cfd1f99b8e9a,gfdl-esm4_r1i1p1f1_w5e5_ssp370_tas_global_daily_2091_2100.nc,20210512,2050541351,1577cdab5506f6ac7e37b63f41d98f4176fabc6a9139aa5e1da160abeaee64620700c28628294ac14a150a500eb88e808c12b2e3a33164fc7f15fed7ce846ee1,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp370_tas_global_daily_2091_2100.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp585,pr,2041,2050,4beceb4b-4626-4026-96d1-6d3544981eb4,a1a4f988-d018-452e-b5fa-6e33cedcf175,gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_global_daily_2041_2050.nc,20210512,2074270346,f94f573a7fb430c6eabbe9139b1fe59e03800503268ac6ca082094e8828e25cf06f66e4c71a3333b58a29f138f180cc0a817f92bf680aa770602ead0d3676ca1,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp585/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_global_daily_2041_2050.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp585,pr,2091,2100,4beceb4b-4626-4026-96d1-6d3544981eb4,aa74a098-049a-41aa-a45a-b38457c29e1d,gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_global_daily_2091_2100.nc,20210512,2092845455,226ca1d9988113892cdca641d4d4d34d357894ace49cebd3b1e622b447c0c71361816f930a9f44b3dc5814a710abd706c4dc6ce57bab3b45b4f827fb7105dad1,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp585/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_global_daily_2091_2100.nc,CC0 1.0,true,false
