esm_id,member_id,scenario,variable,dataset_id,dataset_name,dataset_version,file_id,file_name,file_start_year,file_end_year,size_bytes,sha512,file_url,rights,public,restricted
gfdl-esm4,r1i1p1f1,ssp126,tas,f741da2d-9d21-4c86-be9b-484396303e33,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,66f8e9ca-6349-426e-b897-c76b807b7c6e,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2021_2030.nc,2021,2030,2053016493,8823e5ae1069dc113d61d3d23cc207fd3cde2291e5f45e81912773fa81453e9e606ce743fda4c2f0e28042604141f16e978c48975f9d98e57526903997fa67b7,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2021_2030.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,tas,f741da2d-9d21-4c86-be9b-484396303e33,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,03380b9a-0131-405a-afa4-7894f764c3d5,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2031_2040.nc,2031,2040,2053302613,35ef87ddeb32b763aa4345400233be4ba883fc0086562e7783d7c1c5192af947d4ee32d0935494b92eb16d67497783629cf82bf1ad536a5113621130a556055a,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2031_2040.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,tas,f741da2d-9d21-4c86-be9b-484396303e33,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,827f5957-05a5-4205-8bcb-a593a2c323b5,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2041_2050.nc,2041,2050,2052378930,3f6caf0e1f7bdee50ab7d89e7c033739e94da3aa1cc9082643d8a380f9dd915b073fb478344e53e338cb7d3738a94e0de698fade39b003e516e0fb1f1090e090,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2041_2050.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,tas,f741da2d-9d21-4c86-be9b-484396303e33,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,235b4b8b-c141-4c0a-8b14-a46b72c234e6,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2051_2060.nc,2051,2060,2053021365,a4cd47dbf2ecf6c1f439c67a02ff23b4a51ec9d99cd119b8ae00ae8e04e7012e5623faf6d265c306a4988a86d762b1dffc79cd915dd2f4b00dd0178965ed545b,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2051_2060.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,tas,f741da2d-9d21-4c86-be9b-484396303e33,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,fbcb8332-d892-4e13-b7a6-6ce89260698e,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2061_2070.nc,2061,2070,2052338322,674a78c53cae25801ea9a1023fa38d4c6ccfcf500c11d7d1d0d7a64216fc3664ec88c0c1bcdfdbbbb5eee9dd10eeef0a72ddda3631b3dd4ad4493b61ed61bb12,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2061_2070.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,tas,f741da2d-9d21-4c86-be9b-484396303e33,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,ed3a270e-16f2-4e1e-ad91-91d832ef40fd,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2071_2080.nc,2071,2080,2053256140,f3652475168ae1ac6fd8b843943d2bcbb637dda7d7a0be45ad24b4d35120d2f62fda7086ea25a119379b1c2721875f3ae507f582f145a3c513403a79522b23e4,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2071_2080.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,tas,f741da2d-9d21-4c86-be9b-484396303e33,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,f4f575c6-83e9-49fb-b7f6-97703e79c775,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2081_2090.nc,2081,2090,2052827466,6f1173811a1461614391e0e0f42f48f79df1afad9197a613dcf5001bf86e464cce4811d15f3eb1ab163f056fc0e218c6bc58f8fcc8439ab5f869ba3504f8fa8d,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2081_2090.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp126,tas,f741da2d-9d21-4c86-be9b-484396303e33,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,145820f3-eaf1-4279-a8e2-2ccbe3938fe3,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2091_2100.nc,2091,2100,2052768795,8fb466dabda38408f79a913678477cb51a3de2d812a7f6a6e6221325551638d88489002185381d1c75843ed4d6ef3f8e2b67e6f39361b8e2474379a7761aeefa,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily_2091_2100.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp370,pr,5fe132b1-6f3e-4a9d-a613-ac3752109e03,gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily,20210512,85122afe-a3e9-498e-a703-bb0483ba0c46,gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily_2015_2020.nc,2015,2020,1242553767,7a357c17e9f3a27e672b79396da46d03f515957863dc623fca27bb7aaf849afe93d5eb2b4e7e46334a91dcecf9f8ea99e260f1de48cae1a971974e7e5eb26a92,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily_2015_2020.nc,CC0 1.0,true,false
gfdl-esm4,r1i1p1f1,ssp370,pr,5fe132b1-6f3e-4a9d-a613-ac3752109e03,gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily,20210512,5c9fabdf-839b-4671-9443-5a402b6f025b,gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily_2021_2030.nc,2021,2030,2072628648,7be54706628b30027b12000fd2a6b666ffdba86cee4ea87cd51db3748451afe39f1d32a7363f32b38ae4e6b34e133e364e264969b7ad8a700b92102e9eb42b05,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily_2021_2030.nc,CC0 1.0,true,false
