holdout_type,holdout_id,feature_family,link,selected_lambda,n_test_values,rmse,benchmark_rmse,rmse_ratio_to_cell_mean,negative_prediction_count,above_one_prediction_count,maximum_stage_composition_sum_error
whole_esm,MRI-ESM2-0,wet_days_n,positive_log,100.0,36358,7.456190020282435,7.3978587020172135,1.0078848921849934,0,0,0.0
whole_esm,MRI-ESM2-0,cdd_max_days,positive_log,100.0,36358,15.404047598895072,15.623546569252603,0.9859507590427958,0,0,0.0
whole_esm,MRI-ESM2-0,rx1day_mm,positive_log,100.0,36358,13.22100059586868,13.728182931889219,0.9630553920692299,0,0,0.0
whole_esm,MRI-ESM2-0,rx5day_mm,positive_log,100.0,36358,27.005624875815062,26.818220166814005,1.0069879622076099,0,0,0.0
whole_esm,MRI-ESM2-0,stage1_precip_share,centered_log_ratio,100.0,36358,0.19822177816358674,0.17637429607149366,1.1238699888743264,0,0,3.3306690738754696e-16
whole_esm,MRI-ESM2-0,stage2_precip_share,centered_log_ratio,100.0,36358,0.18533592150960107,0.1692770469513197,1.0948674072917846,0,0,3.3306690738754696e-16
whole_esm,MRI-ESM2-0,stage3_precip_share,centered_log_ratio,100.0,36358,0.16393895876030942,0.1513158964090057,1.0834219183236617,0,0,3.3306690738754696e-16
whole_esm,MRI-ESM2-0,precipitation_timing_centroid,bounded_logit,100.0,36358,0.09412163960555878,0.09401906731814882,1.0010909732497437,0,0,0.0
whole_esm,MRI-ESM2-0,precipitation_concentration_hhi,bounded_logit,100.0,36358,0.12523077260852214,0.11579848041309289,1.0814543693646155,0,0,0.0
whole_esm,UKESM1-0-LL,tmean_c,identity,1.0,36358,0.9622632842434139,3.236513405659892,0.2973147840390972,0,0,0.0
whole_esm,UKESM1-0-LL,precip_mm,positive_log,100.0,36358,112.1504233213978,111.11520765053886,1.009316597545448,0,0,0.0
whole_esm,UKESM1-0-LL,wet_days_n,positive_log,100.0,36358,8.42851185416636,8.523726029368664,0.9888295124838313,0,0,0.0
whole_esm,UKESM1-0-LL,cdd_max_days,positive_log,100.0,36358,15.07114476573684,15.41670373367763,0.9775854181341034,0,0,0.0
whole_esm,UKESM1-0-LL,rx1day_mm,positive_log,100.0,36358,19.015036671882054,18.382690555311576,1.0343989969622682,0,0,0.0
whole_esm,UKESM1-0-LL,rx5day_mm,positive_log,100.0,36358,37.28689922658954,35.91434950892159,1.0382173069103477,0,0,0.0
whole_esm,UKESM1-0-LL,stage1_precip_share,centered_log_ratio,100.0,36358,0.20303365304787283,0.18114497801227952,1.1208351193380006,0,0,3.3306690738754696e-16
whole_esm,UKESM1-0-LL,stage2_precip_share,centered_log_ratio,100.0,36358,0.19155640260144507,0.1779790480376809,1.0762862523058874,0,0,3.3306690738754696e-16
whole_esm,UKESM1-0-LL,stage3_precip_share,centered_log_ratio,100.0,36358,0.15687956352355015,0.14743253045408672,1.0640769919662025,0,0,3.3306690738754696e-16
whole_esm,UKESM1-0-LL,precipitation_timing_centroid,bounded_logit,100.0,36358,0.09322114680493987,0.09277887723942259,1.0047669208625576,0,0,0.0
whole_esm,UKESM1-0-LL,precipitation_concentration_hhi,bounded_logit,100.0,36358,0.13183270093349547,0.11735191332082687,1.1233962634514512,0,0,0.0
whole_scenario,ssp126,tmean_c,identity,10.0,58310,1.0964620011923223,2.0938451336067154,0.5236595503620802,0,0,0.0
whole_scenario,ssp126,precip_mm,positive_log,100.0,58310,89.99129672553924,88.5653114967414,1.0161009452199612,0,0,0.0
whole_scenario,ssp126,wet_days_n,positive_log,100.0,58310,7.694348060435401,7.545495816029732,1.019727297984772,0,0,0.0
whole_scenario,ssp126,cdd_max_days,positive_log,100.0,58310,15.040765268080328,15.058038111421537,0.9988529154187684,0,0,0.0
whole_scenario,ssp126,rx1day_mm,positive_log,100.0,58310,15.391674967500226,15.451009056356602,0.9961598567032122,0,0,0.0
whole_scenario,ssp126,rx5day_mm,positive_log,100.0,58310,27.863644300313368,27.986484044647867,0.995610747525894,0,0,0.0
whole_scenario,ssp126,stage1_precip_share,centered_log_ratio,100.0,58310,0.20646283396944767,0.18371742137982824,1.1238065090332083,0,0,2.220446049250313e-16
whole_scenario,ssp126,stage2_precip_share,centered_log_ratio,100.0,58310,0.19326032954652492,0.17955352534797728,1.0763382627658447,0,0,2.220446049250313e-16
whole_scenario,ssp126,stage3_precip_share,centered_log_ratio,100.0,58310,0.16215560078299754,0.15325298359110354,1.058090987746426,0,0,2.220446049250313e-16
whole_scenario,ssp126,precipitation_timing_centroid,bounded_logit,100.0,58310,0.09543588978277501,0.09558466366368829,0.9984435381659474,0,0,0.0
whole_scenario,ssp126,precipitation_concentration_hhi,bounded_logit,100.0,58310,0.1288693800653864,0.11829949317676818,1.0893485390746709,0,0,0.0
whole_scenario,ssp370,tmean_c,identity,10.0,58310,0.8459600104247547,2.277817971912397,0.37139052411396534,0,0,0.0
whole_scenario,ssp370,precip_mm,positive_log,100.0,58310,91.2720784264016,93.14784723819301,0.9798624566492151,0,0,0.0
whole_scenario,ssp370,wet_days_n,positive_log,100.0,58310,7.61753441067571,8.00876598872544,0.9511495805220809,0,0,0.0
whole_scenario,ssp370,cdd_max_days,positive_log,100.0,58310,15.82904181403398,15.914172528440142,0.9946506351961419,0,0,0.0
whole_scenario,ssp370,rx1day_mm,positive_log,100.0,58310,16.164173568118954,16.325978828233275,0.9900890928613417,0,0,0.0
whole_scenario,ssp370,rx5day_mm,positive_log,100.0,58310,30.881692443474805,31.07171005416787,0.9938845460915474,0,0,0.0
whole_scenario,ssp370,stage1_precip_share,centered_log_ratio,100.0,58310,0.20804684676061905,0.18711002714995148,1.1118957649120997,0,0,2.220446049250313e-16
whole_scenario,ssp370,stage2_precip_share,centered_log_ratio,100.0,58310,0.18959432290232123,0.1786517991585215,1.0612505655993434,0,0,2.220446049250313e-16
whole_scenario,ssp370,stage3_precip_share,centered_log_ratio,100.0,58310,0.16666371048345782,0.1574076455963831,1.0588031467722265,0,0,2.220446049250313e-16
whole_scenario,ssp370,precipitation_timing_centroid,bounded_logit,100.0,58310,0.09903232294089165,0.09874876813024588,1.0028714769410771,0,0,0.0
whole_scenario,ssp370,precipitation_concentration_hhi,bounded_logit,100.0,58310,0.1256078787865057,0.11946105118297806,1.0514546585908788,0,0,0.0
whole_scenario,ssp585,tmean_c,identity,10.0,58310,0.8847333116867424,3.24699926245122,0.27247721362857374,0,0,0.0
whole_scenario,ssp585,precip_mm,positive_log,100.0,58310,95.5986888579178,97.49160664780763,0.9805837871076627,0,0,0.0
whole_scenario,ssp585,wet_days_n,positive_log,100.0,58310,7.553035039219382,8.279203174287249,0.9122900936501801,0,0,0.0
whole_scenario,ssp585,cdd_max_days,positive_log,100.0,58310,16.395890569083488,16.40516335191599,0.9994347643706077,0,0,0.0
whole_scenario,ssp585,rx1day_mm,positive_log,100.0,58310,16.460749504387483,16.464342809222963,0.9997817523069632,0,0,0.0
whole_scenario,ssp585,rx5day_mm,positive_log,100.0,58310,31.27462797856783,31.17475408327668,1.0032036786889915,0,0,0.0
whole_scenario,ssp585,stage1_precip_share,centered_log_ratio,100.0,58310,0.20725753118881632,0.18753025533947526,1.1051951633811297,0,0,3.3306690738754696e-16
whole_scenario,ssp585,stage2_precip_share,centered_log_ratio,100.0,58310,0.19574995645376192,0.18060519302592468,1.083855636563359,0,0,3.3306690738754696e-16
whole_scenario,ssp585,stage3_precip_share,centered_log_ratio,100.0,58310,0.16751384977861555,0.15769518687676498,1.0622635547496044,0,0,3.3306690738754696e-16
whole_scenario,ssp585,precipitation_timing_centroid,bounded_logit,100.0,58310,0.09839430922177834,0.09864005008200699,0.9975087111165866,0,0,0.0
whole_scenario,ssp585,precipitation_concentration_hhi,bounded_logit,100.0,58310,0.13225377516083284,0.12173620504748082,1.0863964020338062,0,0,0.0
