"scenario","mean_delta_scc","median_delta_scc","p05_delta_scc","p95_delta_scc","mean_percent_delta_scc"
"Residual medium",0.536866249231756,0.3128217427908453,0.06425580652182354,2.0035500201222725,0.23622638577238297
"Residual high",11.2139933318501,6.5918820096063655,1.245098647610226,37.508606736077915,5.092424170385702
"RESFire half-gross stress",64.43737226021587,41.16495779976021,12.315732515410673,173.6631901121981,31.351114999808573
"RESFire gross stress",148.01777804314762,82.78610733737928,26.075996057483586,391.9011357898749,70.72456143521408
