"scenario","sector","dr_label","prtp","eta","mean_scc","median_scc","p05_scc","p95_scc","delta_mean_scc","pct_delta_mean_scc","delta_median_scc"
"baseline","energy","2.0%",0.0019745879362491614,1.244458999,9.167484925058003,7.756723719782753,4.656210694794863,17.05195297485913,0.0,0.0,0.0
"baseline","agriculture","2.0%",0.0019745879362491614,1.244458999,112.90269988916295,87.36633081410059,-16.089079302643785,393.5400893751145,0.0,0.0,0.0
"baseline","slr","1.5%",9.150024589210659e-5,1.01601,3.518426224408755,2.909323068659014,1.2743969205831036,6.663978362460363,0.0,0.0,0.0
"baseline","agriculture","1.5%",9.150024589210659e-5,1.01601,171.51260756236115,142.12338063652405,-33.304045704074596,500.1767597718871,0.0,0.0,0.0
"baseline","total","1.5%",9.150024589210659e-5,1.01601,345.9453347022334,292.2101536118692,108.93742325609534,818.2340476930566,0.0,0.0,0.0
"baseline","total","2.5%",0.004629467024013456,1.421158088,144.92095416982994,114.11270425471413,27.067550336413007,403.4202715195292,0.0,0.0,0.0
"baseline","total","2.0%",0.0019745879362491614,1.244458999,218.9841425708337,185.64077726289932,49.296854663976625,568.9647136784984,0.0,0.0,0.0
"baseline","slr","3.0%",0.007732453194507549,1.567899391,1.2237726709376273,0.7166265954325791,0.31201381205410744,3.2295349973846794,0.0,0.0,0.0
"baseline","cromar_mortality","3.0%",0.007732453194507549,1.567899391,42.46457968180803,34.746464085324845,17.567275009305174,107.96759843601713,0.0,0.0,0.0
"baseline","agriculture","2.5%",0.004629467024013456,1.421158088,76.0356051564762,53.887616611721505,-15.992834773955837,287.3626486239294,0.0,0.0,0.0
"baseline","slr","2.5%",0.004629467024013456,1.421158088,1.7120434934039919,1.05813827615811,0.4780228553207604,4.221902404750016,0.0,0.0,0.0
"baseline","cromar_mortality","2.0%",0.0019745879362491614,1.244458999,94.46922997566318,82.2254336033171,48.88653441873828,194.24476982269195,0.0,0.0,0.0
"baseline","slr","2.0%",0.0019745879362491614,1.244458999,2.4447277864634858,1.7311042574828295,0.7274697838436179,5.4744006364564965,0.0,0.0,0.0
"baseline","energy","1.5%",9.150024589210659e-5,1.01601,15.698169241127443,14.423385779025642,7.569837273209873,29.531405597464353,0.0,0.0,0.0
"baseline","cromar_mortality","1.5%",9.150024589210659e-5,1.01601,155.21613168022395,142.649291907561,79.8356079928883,270.1264628768738,0.0,0.0,0.0
"baseline","cromar_mortality","2.5%",0.004629467024013456,1.421158088,61.4260408614407,50.99398302912327,27.134252842801903,150.16206494435187,0.0,0.0,0.0
"baseline","agriculture","3.0%",0.007732453194507549,1.567899391,52.76763703887739,34.17005289987338,-14.079238501316894,205.51837663131633,0.0,0.0,0.0
"baseline","energy","2.5%",0.004629467024013456,1.421158088,5.747264663037759,4.619413514636028,2.892116991065656,11.782385889163724,0.0,0.0,0.0
"baseline","total","3.0%",0.007732453194507549,1.567899391,100.31333224428163,74.07741259271464,13.528401223552205,288.37453332270275,0.0,0.0,0.0
"baseline","energy","3.0%",0.007732453194507549,1.567899391,3.8573428561367176,3.0077751894200544,1.8633263923311156,8.458563414210312,0.0,0.0,0.0
"wildfire-source-uncertainty","energy","2.0%",0.0019745879362491614,1.244458999,9.132397264309963,7.7481512446274365,4.646977491111705,16.984456095310254,-0.03508766074804015,-0.3827403157449768,-0.008572475155316894
"wildfire-source-uncertainty","agriculture","2.0%",0.0019745879362491614,1.244458999,113.74799940283373,87.37297985028437,-13.265742294289144,400.1271220467925,0.8452995136707813,0.7486973424910257,0.00664903618377366
"wildfire-source-uncertainty","slr","1.5%",9.150024589210659e-5,1.01601,3.5062963260694873,2.889892446608152,1.2660097686565996,6.6715676093352005,-0.012129898339267697,-0.3447535223310256,-0.019430622050862212
"wildfire-source-uncertainty","agriculture","1.5%",9.150024589210659e-5,1.01601,173.29457980318145,145.47511054140304,-27.02445078867593,494.28646781219305,1.781972240820295,1.0389744906492535,3.3517299048789937
"wildfire-source-uncertainty","total","1.5%",9.150024589210659e-5,1.01601,347.03753783366034,299.7814656860594,113.89369642184465,820.3982185688475,1.0922031314269134,0.31571552550838955,7.571312074190189
"wildfire-source-uncertainty","total","2.5%",0.004629467024013456,1.421158088,145.21342726789828,113.78329787724286,29.196698423322175,402.0819054139264,0.2924730980683421,0.2018156033706477,-0.32940637747127255
"wildfire-source-uncertainty","total","2.0%",0.0019745879362491614,1.244458999,219.48248403445584,185.84649501195773,53.62897579098453,565.9050443427717,0.4983414636221255,0.22756965768008955,0.20571774905840812
"wildfire-source-uncertainty","slr","3.0%",0.007732453194507549,1.567899391,1.2218963205817859,0.7135124310179374,0.30381858231930403,3.2303322042791685,-0.0018763503558414385,-0.15332507420710914,-0.00311416441464174
