scenario,year,feedback_fire_gtco2,feedback_fire_gtc,baseline_co2_emissions_gtc,annual_fire_share_of_baseline_co2_emissions_pct,atmospheric_added_gtc,baseline_atmospheric_co2_c_gtc,atmospheric_co2_c_stock_increase_pct
feedback-residual-medium,2030,0.0081142791888807,0.0022129852333311,11.953605530293736,0.01851311913985102,0.007915354781374844,958.9152384858623,8.254488471653946e-4
feedback-residual-medium,2050,0.02411974488667588,0.00657811224182069,12.074296686188005,0.05448029324428896,0.06903456590969335,1089.2421095627706,0.006337853201195492
feedback-residual-medium,2100,0.055510215415152137,0.01513914965867785,7.458185421712572,0.2029870377666415,0.4731727299882737,1346.0053796154505,0.035153851325873425
feedback-residual-medium,2200,0.09528814708790873,0.02598767647852055,4.513355272930509,0.5757950550532847,2.04593340150069,1635.417315994228,0.12510161054867483
feedback-residual-medium,2300,0.12226916469236124,0.03334613582518943,3.163867380389268,1.0539675598250478,4.360575608112149,1821.9599019540408,0.23933433460502937
feedback-residual-high,2030,0.18271274115547173,0.04983074758785593,11.953605530293736,0.4168679271000792,0.17813884468275185,958.9152384858623,0.018577121056500785
feedback-residual-high,2050,0.5450971101813934,0.1486628482312891,12.074296686188005,1.2312340179726335,1.5577625862801694,1089.2421095627706,0.14301343774759737
feedback-residual-high,2100,1.2666413475172849,0.3454476402319868,7.458185421712572,4.63179206065735,10.756107978160292,1346.0053796154505,0.7991132978408511
feedback-residual-high,2200,2.2189185646501284,0.6051596085409441,4.513355272930509,13.4081979358123,47.27631721941101,1635.417315994228,2.890780032536837
feedback-residual-high,2300,2.9089997026570655,0.7933635552701088,3.163867380389268,25.075752548531188,102.52956115985272,1821.9599019540408,5.627432362802847
feedback-resfire-half-gross,2030,1.2406351332012593,0.3383550363276162,11.953605530293736,2.830568864516494,1.2057251651164407,958.9152384858623,0.12573845077488746
feedback-resfire-half-gross,2050,3.7832109265783616,1.031784798157735,12.074296686188005,8.545299365867093,10.712633497878015,1089.2421095627706,0.9834942483244741
feedback-resfire-half-gross,2100,9.313131354659117,2.5399449149070312,7.458185421712572,34.05580273604677,77.3530159501248,1346.0053796154505,5.746857859678414
feedback-resfire-half-gross,2200,18.34160437399521,5.00225573836233,4.513355272930509,110.8323062526026,375.2105830920515,1635.417315994228,22.942803614864975
feedback-resfire-half-gross,2300,26.844269488725832,7.321164406016137,3.163867380389268,231.39921892413122,897.6445737878731,1821.9599019540408,49.26807515495565
feedback-resfire-gross,2030,2.4948075794636217,0.6804020671264424,11.953605530293736,5.6920237613840925,2.415598077431851,958.9152384858623,0.25190944730903503
feedback-resfire-gross,2050,7.804793489541401,2.1285800426022004,12.074296686188005,17.629018881382297,21.865955003973923,1089.2421095627706,2.007446720247629
feedback-resfire-gross,2100,20.539415717403017,5.601658832019004,7.458185421712572,75.10752971776792,166.48920519717916,1346.0053796154505,12.369133713621904
feedback-resfire-gross,2200,45.63107706457027,12.444839199428255,4.513355272930509,275.7336492889879,902.5404462304787,1635.417315994228,55.18716460952918
feedback-resfire-gross,2300,71.37372616409287,19.46556168111624,3.163867380389268,615.2458159836424,2346.5581685954053,1821.9599019540408,128.79307420974172
