"scenario","dr_label","prtp","eta","mean_scc","median_scc","p025_scc","p05_scc","p95_scc","p975_scc","delta_mean_scc","pct_delta_mean_scc","delta_median_scc"
"baseline","1.5%",9.150024589210659e-5,1.01601,326.1678657445548,280.2731836501597,77.9247331493607,98.82515436143825,725.6773912574702,890.31299435928,0.0,0.0,0.0
"baseline","2.5%",0.004629467024013456,1.421158088,127.65032412155193,96.85101011475763,7.960478649249244,12.850375243699682,300.5161786851982,406.16903740759926,0.0,0.0,0.0
"baseline","2.0%",0.0019745879362491614,1.244458999,198.35329641914902,155.82383500686933,25.974384983909133,33.39385846421885,464.2086662740562,609.3819998979891,0.0,0.0,0.0
"baseline","3.0%",0.007732453194507549,1.567899391,86.45781561017047,63.69817884644564,0.9373722557115775,6.330746732133553,207.09763371690133,270.1485061511966,0.0,0.0,0.0
"feedback-residual-medium","1.5%",9.150024589210659e-5,1.01601,327.13634214612927,280.72789586202583,78.02014831165674,99.0532960754638,728.0850174719953,893.8759623084923,0.9684764015744918,0.2969257561175491,0.45471221186613775
"feedback-residual-medium","2.5%",0.004629467024013456,1.421158088,127.96035667650216,96.9581921280079,7.974223984377345,12.870369679212326,302.1014474726156,407.47985178230533,0.31003255495022586,0.24287643379189924,0.10718201325026655
"feedback-residual-medium","2.0%",0.0019745879362491614,1.244458999,198.89016266838075,156.02619305018047,26.00858885198432,33.464166100120416,465.23123503718125,611.6485959696664,0.5368662492317355,0.2706616219259901,0.20235804331113627
"feedback-residual-medium","3.0%",0.007732453194507549,1.567899391,86.64396506634397,63.805238486400135,0.9432959515278883,6.341543053820073,207.4917319994483,270.86916595051576,0.18614945617349576,0.21530668437521577,0.10705963995449252
"feedback-residual-high","1.5%",9.150024589210659e-5,1.01601,346.216282910205,296.0354029087305,79.77347798383046,106.52849056114307,758.7402938123264,995.2214662565236,20.04841716565022,6.146656145872924,15.76221925857078
"feedback-residual-high","2.5%",0.004629467024013456,1.421158088,134.1153688478279,100.9157552242203,8.466188546372996,13.591593885506686,306.56855004498584,420.805233462596,6.465044726275977,5.064652025575583,4.064745109462677
"feedback-residual-high","2.0%",0.0019745879362491614,1.244458999,209.56728975099924,161.67463205219912,26.978382747027993,35.7962011325387,485.25943790705315,633.7094720599936,11.213993331850219,5.653545231813763,5.850797045329784
"feedback-residual-high","3.0%",0.007732453194507549,1.567899391,90.31375307527448,66.00713645234984,1.1909862314468214,6.5937743963057684,214.30186682605918,279.3598145409371,3.855937465104006,4.4599061841789265,2.3089576059041974
"feedback-resfire-half-gross","1.5%",9.150024589210659e-5,1.01601,442.58730372769406,375.70250439560743,96.24433424738771,139.63907644113533,1023.5733418256883,1195.9166704753823,116.41943798313929,35.69310475064261,95.42932074544774
"feedback-resfire-half-gross","2.5%",0.004629467024013456,1.421158088,164.74175191333973,120.03540754115514,10.433436743804913,16.99651295845977,392.3617826896925,527.5201728747686,37.091427791787794,29.05705727505116,23.18439742639751
"feedback-resfire-half-gross","2.0%",0.0019745879362491614,1.244458999,262.79066867936496,194.93368751524127,31.573963860210547,45.448781872472516,646.4292124367222,788.2345713930526,64.43737226021594,32.48616152264518,39.109852508371944
"feedback-resfire-half-gross","3.0%",0.007732453194507549,1.567899391,108.55519824284525,79.3965033466423,2.78939155641424,7.938764099607319,248.85936039443357,340.6993251751982,22.09738263267478,25.558571514586536,15.698324500196662
"feedback-resfire-gross","1.5%",9.150024589210659e-5,1.01601,574.9006022747382,476.5812470252106,126.50786067601206,218.03625060819326,1276.2219792955104,1415.3788829982125,248.7327365301834,76.25911766703089,196.3080633750509
"feedback-resfire-gross","2.5%",0.004629467024013456,1.421158088,219.43096451850522,159.41335274106962,14.447601076118831,33.48727569363477,439.758823255179,631.9101609417393,91.78064039695329,71.90004493020903,62.56234262631199
"feedback-resfire-gross","2.0%",0.0019745879362491614,1.244458999,346.3710744622967,248.5519283767424,42.12178661985125,84.62888263273989,785.4663901995838,922.7871207780413,148.01777804314767,74.6233013089759,92.72809336987308
"feedback-resfire-gross","3.0%",0.007732453194507549,1.567899391,144.16865256921932,99.84431172429561,4.163400755837126,13.286375793704552,285.9170889799717,407.2462438251815,57.71083695904885,66.75028342060035,36.146132877849965
