scenario,scenario_label,n,sd_baseline_scc,sd_delta_scc,iqr_delta_scc,r2_baseline_state_proxy,r2_feedback_intensity,r2_joint_proxy_model,spearman_baseline_state,spearman_feedback_intensity,spearman_beta,spearman_phi_net,spearman_phi_missing
feedback-resfire-gross,RESFire gross stress,100,156.01515783821384,310.0299579000517,97.87044562201808,0.44188972448416514,0.0033156607072350286,0.4429769056578793,0.6923492349234924,0.2114851485148515,0.2114851485148515,NA,NA
feedback-resfire-half-gross,RESFire half-gross stress,100,156.01515783821384,80.17561899283871,52.04296858014667,0.5949964595030809,0.04065210115642656,0.6432132631720527,0.7816741674167417,0.30762676267626765,0.30762676267626765,NA,NA
feedback-residual-high,Residual high,100,156.01515783821384,15.540962140974443,8.378378252591283,0.5124738195430416,0.25795215902176033,0.6799932989675258,0.8644824482448246,0.4835523552355236,0.21338133813381338,0.41645364536453644,0.2733873387338734
feedback-residual-medium,Residual medium,100,156.01515783821384,0.7230523162234282,0.34750357406654686,0.6550327028980896,0.14693639690511395,0.7307102009450841,0.8483528352835283,0.417041704170417,0.1978877887788779,0.2939213921392139,0.1355895589558956
