scenario,scenario_label,n,mean_delta,median_delta,sd_delta,p025_delta,p05_delta,p25_delta,p75_delta,p95_delta,p975_delta,mean_pct_delta,median_pct_delta,p05_pct_delta,p95_pct_delta,prob_delta_gt_0,prob_delta_gt_1,prob_delta_gt_10,prob_delta_gt_50
feedback-residual-medium,Residual medium,100,0.536866249231756,0.3128217427908453,0.7230523162234282,0.03702075539207996,0.06425580652182354,0.16177229768493717,0.509275871751484,2.0035500201222725,3.167082822538512,0.23622638577238297,0.199326796873911,0.1023068999590367,0.5203864421740714,1,0.12,0,0
feedback-residual-high,Residual high,100,11.213993331850103,6.5918820096063655,15.540962140974443,1.0240188219085269,1.245098647610226,3.337316876109334,11.715695128700617,37.508606736077915,59.31856411594467,5.092424170385702,4.322410221818727,1.8036414643614442,11.591918296014251,1,0.97,0.34,0.04
feedback-resfire-half-gross,RESFire half-gross stress,100,64.43737226021587,41.16495779976021,80.17561899283871,6.9257140345117625,12.315732515410671,20.780262113804092,72.82323069395076,173.6631901121981,325.6629381919905,31.351114999808576,27.906304804134503,10.95049962348363,64.8070663323844,1,1,0.96,0.39
feedback-resfire-gross,RESFire gross stress,100,148.01777804314762,82.78610733737928,310.0299579000517,19.027085715082364,26.07599605748359,51.61500201845114,149.48544764046923,391.90113578987496,439.99409393481,70.72456143521408,60.77245179726967,22.427161534098218,150.35745882473128,1,1,1,0.76
