scenario,dr_label,prtp,eta,trial,scc_2020usd_per_tco2,baseline_scc,delta_scc
Residual medium,2.0%,0.00197458793624916,1.244458999,1,220.5697782420573,220.1043317354974,0.46544650655991404
Residual medium,2.0%,0.00197458793624916,1.244458999,2,364.2102923186925,363.73411289558805,0.4761794231044405
Residual medium,2.0%,0.00197458793624916,1.244458999,3,144.88819545181107,144.22241255733405,0.6657828944770188
Residual medium,2.0%,0.00197458793624916,1.244458999,4,156.12086826583385,155.9060193634409,0.2148489023929585
Residual medium,2.0%,0.00197458793624916,1.244458999,5,375.3474686816062,372.0991721274073,3.2482965541988733
Residual medium,2.0%,0.00197458793624916,1.244458999,6,179.79946398594302,179.4824796363447,0.31698434959832866
Residual medium,2.0%,0.00197458793624916,1.244458999,7,93.48225106417422,93.3734083969945,0.10884266717971514
Residual medium,2.0%,0.00197458793624916,1.244458999,8,515.4947228743595,514.6897432450969,0.8049796292625615
Residual medium,2.0%,0.00197458793624916,1.244458999,9,129.91317674486993,129.6176008264381,0.2955759184318367
Residual medium,2.0%,0.00197458793624916,1.244458999,10,54.48179199096156,54.416728247200126,0.06506374376143498
Residual medium,2.0%,0.00197458793624916,1.244458999,11,698.6449573416088,695.055946393461,3.589010948147802
Residual medium,2.0%,0.00197458793624916,1.244458999,12,222.6144949757522,221.5256684196541,1.0888265560980983
Residual medium,2.0%,0.00197458793624916,1.244458999,13,161.17145277512324,160.92113340140767,0.2503193737155698
Residual medium,2.0%,0.00197458793624916,1.244458999,14,98.76120889737426,98.52181921791713,0.2393896794571333
Residual medium,2.0%,0.00197458793624916,1.244458999,15,33.67707717809037,33.605643087613416,0.0714340904769557
Residual medium,2.0%,0.00197458793624916,1.244458999,16,144.9022480434718,144.7618217545328,0.14042628893898268
Residual medium,2.0%,0.00197458793624916,1.244458999,17,66.98618956685155,66.85500746555847,0.13118210129307784
Residual medium,2.0%,0.00197458793624916,1.244458999,18,308.4782340624588,307.9680112488813,0.5102228135775135
Residual medium,2.0%,0.00197458793624916,1.244458999,19,131.37936767015896,131.20727875815425,0.17208891200471044
Residual medium,2.0%,0.00197458793624916,1.244458999,20,227.9855724972296,227.6817949535863,0.30377754364332077
Residual medium,2.0%,0.00197458793624916,1.244458999,21,297.25216100246644,296.75515625100996,0.4970047514564726
Residual medium,2.0%,0.00197458793624916,1.244458999,22,52.53323531367402,52.433909958493885,0.09932535518013452
Residual medium,2.0%,0.00197458793624916,1.244458999,23,76.2016212141799,75.77802422444424,0.42359698973565685
Residual medium,2.0%,0.00197458793624916,1.244458999,24,392.1700330209645,391.73096493378273,0.4390680871817949
Residual medium,2.0%,0.00197458793624916,1.244458999,25,199.71819732543048,199.12499419757407,0.5932031278564125
Residual medium,2.0%,0.00197458793624916,1.244458999,26,24.227944151298416,24.194123821134102,0.03382033016431407
Residual medium,2.0%,0.00197458793624916,1.244458999,27,139.35705137926294,138.83502510343192,0.5220262758310241
Residual medium,2.0%,0.00197458793624916,1.244458999,28,133.52843235291238,133.34760050573018,0.18083184718219059
Residual medium,2.0%,0.00197458793624916,1.244458999,29,234.48268905439593,233.43198583431237,1.0507032200835624
Residual medium,2.0%,0.00197458793624916,1.244458999,30,91.5039895699219,91.38347901578636,0.12051055413553513
Residual medium,2.0%,0.00197458793624916,1.244458999,31,94.21991353831928,94.033952100741,0.18596143757827122
Residual medium,2.0%,0.00197458793624916,1.244458999,32,149.19356851843335,149.0406737359193,0.1528947825140392
Residual medium,2.0%,0.00197458793624916,1.244458999,33,124.11782179005884,123.93408348908504,0.1837383009738005
Residual medium,2.0%,0.00197458793624916,1.244458999,34,108.54637580317316,108.27751414804924,0.2688616551239278
Residual medium,2.0%,0.00197458793624916,1.244458999,35,232.0435919421959,231.60961224031527,0.43397970188061663
Residual medium,2.0%,0.00197458793624916,1.244458999,36,67.54766599967576,67.38378950623999,0.16387649343576527
Residual medium,2.0%,0.00197458793624916,1.244458999,37,187.98499116461247,187.60809830209791,0.376892862514552
Residual medium,2.0%,0.00197458793624916,1.244458999,38,338.45543801825835,337.76899085862726,0.6864471596310864
Residual medium,2.0%,0.00197458793624916,1.244458999,39,121.42929639000104,121.2748082338039,0.1544881561971465
Residual medium,2.0%,0.00197458793624916,1.244458999,40,177.5988635442857,177.1221073727905,0.47675617149519667
Residual medium,2.0%,0.00197458793624916,1.244458999,41,301.3700811204916,299.75738526706925,1.6126958534223377
Residual medium,2.0%,0.00197458793624916,1.244458999,42,211.662281614726,211.35922710108005,0.3030545136459466
Residual medium,2.0%,0.00197458793624916,1.244458999,43,114.5433566722906,114.42077826628628,0.12257840600432246
Residual medium,2.0%,0.00197458793624916,1.244458999,44,758.3605599426379,757.0693022984474,1.291257644190523
Residual medium,2.0%,0.00197458793624916,1.244458999,45,153.93568263146415,153.4650879985558,0.4705946329083588
Residual medium,2.0%,0.00197458793624916,1.244458999,46,60.696865328054265,60.50260616833334,0.19425915972092866
Residual medium,2.0%,0.00197458793624916,1.244458999,47,136.13244606193717,135.81883747194334,0.3136085899938337
Residual medium,2.0%,0.00197458793624916,1.244458999,48,106.05943100146789,105.92487135936922,0.13455964209866522
Residual medium,2.0%,0.00197458793624916,1.244458999,49,104.74034159064774,104.64295030333402,0.0973912873137266
Residual medium,2.0%,0.00197458793624916,1.244458999,50,137.48995255721968,137.17791766163182,0.3120348955878569
Residual medium,2.0%,0.00197458793624916,1.244458999,51,150.13945654900394,149.85040391503932,0.2890526339646158
Residual medium,2.0%,0.00197458793624916,1.244458999,52,228.3307785487152,228.0167671275244,0.3140114211907985
Residual medium,2.0%,0.00197458793624916,1.244458999,53,115.91132120516072,115.79191908893192,0.11940211622879815
Residual medium,2.0%,0.00197458793624916,1.244458999,54,27.97666983695295,27.942042058555213,0.034627778397737785
Residual medium,2.0%,0.00197458793624916,1.244458999,55,354.97578716903234,352.9862752842029,1.989511884829426
Residual medium,2.0%,0.00197458793624916,1.244458999,56,337.35679247887725,336.4810009551674,0.8757915237098359
Residual medium,2.0%,0.00197458793624916,1.244458999,57,114.7753901781349,114.66750102636334,0.107889151771559
Residual medium,2.0%,0.00197458793624916,1.244458999,58,94.57554428455585,94.32018805183188,0.2553562327239689
Residual medium,2.0%,0.00197458793624916,1.244458999,59,371.59957237483553,370.6258613362424,0.9737110385931373
Residual medium,2.0%,0.00197458793624916,1.244458999,60,432.4083274735569,429.3310071965377,3.0773202770191688
Residual medium,2.0%,0.00197458793624916,1.244458999,61,181.3198007487924,180.89803050900545,0.4217702397869516
Residual medium,2.0%,0.00197458793624916,1.244458999,62,74.49989459819894,74.34443488776648,0.15545971043245288
Residual medium,2.0%,0.00197458793624916,1.244458999,63,261.0880533858135,260.7977246325583,0.2903287532552099
Residual medium,2.0%,0.00197458793624916,1.244458999,64,159.14857549270738,158.7391546500601,0.40942084264727896
Residual medium,2.0%,0.00197458793624916,1.244458999,65,16.91779136122457,16.878125736522954,0.039665624701616053
Residual medium,2.0%,0.00197458793624916,1.244458999,66,85.28359301555567,85.1586418704767,0.12495114507896687
Residual medium,2.0%,0.00197458793624916,1.244458999,67,215.55775678417947,215.19237058765168,0.365386196527794
Residual medium,2.0%,0.00197458793624916,1.244458999,68,1003.4802567275466,999.6224948818192,3.8577618457273957
Residual medium,2.0%,0.00197458793624916,1.244458999,69,99.24552557128816,99.16975407407986,0.07577149720829368
Residual medium,2.0%,0.00197458793624916,1.244458999,70,157.1187000092958,156.83316500470912,0.28553500458667713
Residual medium,2.0%,0.00197458793624916,1.244458999,71,95.073910965678,94.81812775556378,0.2557832101142168
Residual medium,2.0%,0.00197458793624916,1.244458999,72,472.9581848560641,471.10677573379314,1.8514091222709794
Residual medium,2.0%,0.00197458793624916,1.244458999,73,226.5689797035708,226.2329146348798,0.33606506869099917
Residual medium,2.0%,0.00197458793624916,1.244458999,74,79.60812890446267,79.50723959686944,0.10088930759323489
Residual medium,2.0%,0.00197458793624916,1.244458999,75,203.2911271015198,202.91580590676875,0.3753211947510522
Residual medium,2.0%,0.00197458793624916,1.244458999,76,165.02840328717153,164.50979349419433,0.5186097929772018
Residual medium,2.0%,0.00197458793624916,1.244458999,77,239.5448616027239,238.86713247185588,0.6777291308680162
Residual medium,2.0%,0.00197458793624916,1.244458999,78,127.92938479109388,127.55278079038872,0.3766040007051572
Residual medium,2.0%,0.00197458793624916,1.244458999,79,235.5374200656071,235.02845984113097,0.5089602244761409
Residual medium,2.0%,0.00197458793624916,1.244458999,80,155.93151783452709,155.74165065029774,0.18986718422934246
Residual medium,2.0%,0.00197458793624916,1.244458999,81,99.81564847185388,99.66162889146544,0.15401958038843588
Residual medium,2.0%,0.00197458793624916,1.244458999,82,169.93369996819897,169.7180091362925,0.2156908319064712
Residual medium,2.0%,0.00197458793624916,1.244458999,83,109.43672878597236,109.08409685291213,0.35263193306023766
Residual medium,2.0%,0.00197458793624916,1.244458999,84,145.17736767463936,144.83970828850644,0.3376593861329127
Residual medium,2.0%,0.00197458793624916,1.244458999,85,439.315907161304,437.0456325706176,2.2702745906863697
Residual medium,2.0%,0.00197458793624916,1.244458999,86,464.8245534677664,463.8456078814385,0.9789455863278818
Residual medium,2.0%,0.00197458793624916,1.244458999,87,197.69194429839553,197.38487701004817,0.30706728834735486
Residual medium,2.0%,0.00197458793624916,1.244458999,88,113.11974317599152,112.7751101656877,0.34463301030380933
Residual medium,2.0%,0.00197458793624916,1.244458999,89,216.59950640691093,216.40199605213417,0.19751035477676737
Residual medium,2.0%,0.00197458793624916,1.244458999,90,6.506343392463399,6.475182259474183,0.031161132989216078
Residual medium,2.0%,0.00197458793624916,1.244458999,91,91.90553928274149,91.68363719733787,0.22190208540361311
Residual medium,2.0%,0.00197458793624916,1.244458999,92,161.81221685348086,161.3058860720078,0.5063307814730535
Residual medium,2.0%,0.00197458793624916,1.244458999,93,280.1468123902148,279.51594266827493,0.6308697219398596
Residual medium,2.0%,0.00197458793624916,1.244458999,94,175.32561531871548,174.99523329383328,0.3303820248821978
Residual medium,2.0%,0.00197458793624916,1.244458999,95,151.5001161282718,151.05351550922143,0.44660061905037196
Residual medium,2.0%,0.00197458793624916,1.244458999,96,222.6241467486084,222.31670128490785,0.30744546370056014
Residual medium,2.0%,0.00197458793624916,1.244458999,97,29.41885561869125,29.369950619722044,0.048904998969206304
Residual medium,2.0%,0.00197458793624916,1.244458999,98,201.9420046932517,201.409308000997,0.5326966922547172
Residual medium,2.0%,0.00197458793624916,1.244458999,99,384.6842904616573,383.6186781659488,1.0656122957085472
Residual medium,2.0%,0.00197458793624916,1.244458999,100,88.04102739021496,87.94340478175722,0.09762260845774051
Residual high,2.0%,0.00197458793624916,1.244458999,1,224.72124467278843,220.1043317354974,4.616912937291033
Residual high,2.0%,0.00197458793624916,1.244458999,2,387.26643976362453,363.73411289558805,23.532326868036478
Residual high,2.0%,0.00197458793624916,1.244458999,3,151.17991941260942,144.22241255733405,6.957506855275369
Residual high,2.0%,0.00197458793624916,1.244458999,4,158.98162314970324,155.9060193634409,3.0756037862623486
Residual high,2.0%,0.00197458793624916,1.244458999,5,458.251187585764,372.0991721274073,86.15201545835669
Residual high,2.0%,0.00197458793624916,1.244458999,6,190.4724141607792,179.4824796363447,10.989934524434517
Residual high,2.0%,0.00197458793624916,1.244458999,7,96.45507236529664,93.3734083969945,3.081663968302138
Residual high,2.0%,0.00197458793624916,1.244458999,8,532.7370827238224,514.6897432450969,18.047339478725462
Residual high,2.0%,0.00197458793624916,1.244458999,9,132.36744282820644,129.6176008264381,2.749842001768343
Residual high,2.0%,0.00197458793624916,1.244458999,10,56.62469440052814,54.416728247200126,2.207966153328016
Residual high,2.0%,0.00197458793624916,1.244458999,11,723.5600892891937,695.055946393461,28.504142895732684
Residual high,2.0%,0.00197458793624916,1.244458999,12,233.97974286528031,221.5256684196541,12.454074445626219
Residual high,2.0%,0.00197458793624916,1.244458999,13,170.15406099976997,160.92113340140767,9.232927598362295
Residual high,2.0%,0.00197458793624916,1.244458999,14,103.98336480895202,98.52181921791713,5.461545591034891
Residual high,2.0%,0.00197458793624916,1.244458999,15,36.07274155314663,33.605643087613416,2.467098465533212
Residual high,2.0%,0.00197458793624916,1.244458999,16,149.21257586434012,144.7618217545328,4.4507541098073204
Residual high,2.0%,0.00197458793624916,1.244458999,17,70.74313336900829,66.85500746555847,3.8881259034498186
Residual high,2.0%,0.00197458793624916,1.244458999,18,319.7435732079217,307.9680112488813,11.77556195904043
Residual high,2.0%,0.00197458793624916,1.244458999,19,137.32863573010505,131.20727875815425,6.121356971950803
Residual high,2.0%,0.00197458793624916,1.244458999,20,232.8708473036148,227.6817949535863,5.189052350028504
Residual high,2.0%,0.00197458793624916,1.244458999,21,319.95313803410073,296.75515625100996,23.197981783090768
Residual high,2.0%,0.00197458793624916,1.244458999,22,53.50832904786088,52.433909958493885,1.074419089366998
Residual high,2.0%,0.00197458793624916,1.244458999,23,84.79969296844075,75.77802422444424,9.021668743996514
Residual high,2.0%,0.00197458793624916,1.244458999,24,412.40242735642903,391.73096493378273,20.6714624226463
Residual high,2.0%,0.00197458793624916,1.244458999,25,210.57700621101947,199.12499419757407,11.452012013445398
Residual high,2.0%,0.00197458793624916,1.244458999,26,24.794792263536255,24.194123821134102,0.6006684424021529
Residual high,2.0%,0.00197458793624916,1.244458999,27,146.83881074455658,138.83502510343192,8.003785641124665
Residual high,2.0%,0.00197458793624916,1.244458999,28,137.5531299933453,133.34760050573018,4.2055294876151095
Residual high,2.0%,0.00197458793624916,1.244458999,29,244.04776327016248,233.43198583431237,10.615777435850106
Residual high,2.0%,0.00197458793624916,1.244458999,30,93.39841972220624,91.38347901578636,2.0149407064198783
Residual high,2.0%,0.00197458793624916,1.244458999,31,97.51979000469484,94.033952100741,3.4858379039538363
Residual high,2.0%,0.00197458793624916,1.244458999,32,151.73098116929572,149.0406737359193,2.690307433376404
Residual high,2.0%,0.00197458793624916,1.244458999,33,128.00806741584927,123.93408348908504,4.073983926764228
Residual high,2.0%,0.00197458793624916,1.244458999,34,111.34106549870911,108.27751414804924,3.0635513506598784
Residual high,2.0%,0.00197458793624916,1.244458999,35,241.45427557141235,231.60961224031527,9.844663331097081
Residual high,2.0%,0.00197458793624916,1.244458999,36,69.71316369458663,67.38378950623999,2.329374188346634
Residual high,2.0%,0.00197458793624916,1.244458999,37,190.6442911457555,187.60809830209791,3.036192843657574
Residual high,2.0%,0.00197458793624916,1.244458999,38,347.7583335521375,337.76899085862726,9.989342693510253
Residual high,2.0%,0.00197458793624916,1.244458999,39,124.95327753649153,121.2748082338039,3.678469302687631
Residual high,2.0%,0.00197458793624916,1.244458999,40,214.54140455013177,177.1221073727905,37.419297177341264
Residual high,2.0%,0.00197458793624916,1.244458999,41,326.4916719631991,299.75738526706925,26.734286696129857
Residual high,2.0%,0.00197458793624916,1.244458999,42,221.4907578136116,211.35922710108005,10.131530712531543
Residual high,2.0%,0.00197458793624916,1.244458999,43,116.6984742201744,114.42077826628628,2.277695953888127
Residual high,2.0%,0.00197458793624916,1.244458999,44,770.5168047239134,757.0693022984474,13.447502425466041
Residual high,2.0%,0.00197458793624916,1.244458999,45,164.70996087777382,153.4650879985558,11.244872879218036
Residual high,2.0%,0.00197458793624916,1.244458999,46,63.858821884594995,60.50260616833334,3.3562157162616586
Residual high,2.0%,0.00197458793624916,1.244458999,47,141.64518690780574,135.81883747194334,5.826349435862397
Residual high,2.0%,0.00197458793624916,1.244458999,48,111.136350651364,105.92487135936922,5.211479291994777
Residual high,2.0%,0.00197458793624916,1.244458999,49,108.5551159005829,104.64295030333402,3.9121655972488867
Residual high,2.0%,0.00197458793624916,1.244458999,50,144.0352846311617,137.17791766163182,6.857366969529863
Residual high,2.0%,0.00197458793624916,1.244458999,51,154.3889504808071,149.85040391503932,4.538546565767774
Residual high,2.0%,0.00197458793624916,1.244458999,52,241.43310491425223,228.0167671275244,13.416337786727837
Residual high,2.0%,0.00197458793624916,1.244458999,53,120.18771405685035,115.79191908893192,4.395794967918434
Residual high,2.0%,0.00197458793624916,1.244458999,54,29.39182486036097,27.942042058555213,1.4497828018057568
Residual high,2.0%,0.00197458793624916,1.244458999,55,407.9108046250401,352.9862752842029,54.92452934083718
Residual high,2.0%,0.00197458793624916,1.244458999,56,361.69986971362226,336.4810009551674,25.218868758454846
Residual high,2.0%,0.00197458793624916,1.244458999,57,118.30186774299108,114.66750102636334,3.6343667166277385
Residual high,2.0%,0.00197458793624916,1.244458999,58,98.89469244799376,94.32018805183188,4.574504396161885
Residual high,2.0%,0.00197458793624916,1.244458999,59,383.6575893427973,370.6258613362424,13.031728006554886
Residual high,2.0%,0.00197458793624916,1.244458999,60,468.5364955486121,429.3310071965377,39.20548835207438
Residual high,2.0%,0.00197458793624916,1.244458999,61,189.2537729955654,180.89803050900545,8.355742486559961
Residual high,2.0%,0.00197458793624916,1.244458999,62,75.32285346768877,74.34443488776648,0.9784185799222911
Residual high,2.0%,0.00197458793624916,1.244458999,63,273.36168157447514,260.7977246325583,12.563956941916842
Residual high,2.0%,0.00197458793624916,1.244458999,64,167.3318576094566,158.7391546500601,8.59270295939649
Residual high,2.0%,0.00197458793624916,1.244458999,65,18.127072601309195,16.878125736522954,1.248946864786241
Residual high,2.0%,0.00197458793624916,1.244458999,66,87.06220342430494,85.1586418704767,1.90356155382824
Residual high,2.0%,0.00197458793624916,1.244458999,67,228.548951424576,215.19237058765168,13.356580836924309
Residual high,2.0%,0.00197458793624916,1.244458999,68,1096.5522966367057,999.6224948818192,96.92980175488651
Residual high,2.0%,0.00197458793624916,1.244458999,69,100.61429214601144,99.16975407407986,1.444538071931575
Residual high,2.0%,0.00197458793624916,1.244458999,70,160.11378536036148,156.83316500470912,3.28062035565236
Residual high,2.0%,0.00197458793624916,1.244458999,71,97.4310965641438,94.81812775556378,2.612968808580021
Residual high,2.0%,0.00197458793624916,1.244458999,72,534.4008951224542,471.10677573379314,63.2941193886611
Residual high,2.0%,0.00197458793624916,1.244458999,73,241.10599946283193,226.2329146348798,14.873084827952141
Residual high,2.0%,0.00197458793624916,1.244458999,74,83.52645867585251,79.50723959686944,4.01921907898307
Residual high,2.0%,0.00197458793624916,1.244458999,75,212.27608951139703,202.91580590676875,9.360283604628279
Residual high,2.0%,0.00197458793624916,1.244458999,76,171.3691694787884,164.50979349419433,6.859375984594067
Residual high,2.0%,0.00197458793624916,1.244458999,77,259.23061777875773,238.86713247185588,20.36348530690185
Residual high,2.0%,0.00197458793624916,1.244458999,78,133.08139395596896,127.55278079038872,5.528613165580239
Residual high,2.0%,0.00197458793624916,1.244458999,79,243.04912868673472,235.02845984113097,8.020668845603751
Residual high,2.0%,0.00197458793624916,1.244458999,80,163.23547874403678,155.74165065029774,7.49382809373904
Residual high,2.0%,0.00197458793624916,1.244458999,81,103.9574911245562,99.66162889146544,4.295862233090759
Residual high,2.0%,0.00197458793624916,1.244458999,82,178.44988634392828,169.7180091362925,8.73187720763579
Residual high,2.0%,0.00197458793624916,1.244458999,83,113.61278183767072,109.08409685291213,4.528684984758598
Residual high,2.0%,0.00197458793624916,1.244458999,84,151.2041159017255,144.83970828850644,6.3644076132190435
Residual high,2.0%,0.00197458793624916,1.244458999,85,447.4067429700336,437.0456325706176,10.361110399415963
Residual high,2.0%,0.00197458793624916,1.244458999,86,482.7606144956444,463.8456078814385,18.91500661420588
