scenario,n,n_clipped,mean_scc,median_scc
Baseline,100,3,198.35329641914902,155.82383500686933
Residual med.,100,3,198.89016266838078,156.02619305018047
Residual high,100,3,209.56728975099912,161.67463205219912
RESFire half,100,6,262.7906686793649,194.93368751524127
RESFire gross,100,11,346.37107446229663,248.5519283767424
